姓名,职务,学历,年薪(万元),持股数(股)
谢永林,董事长,博士研究生,--,--
冀光恒,"执行董事,行长",博士研究生,--,--
项有志,"执行董事,副行长,首席财务官",博士研究生,--,--
杨志群,"执行董事,副行长",博士研究生,--,--
蔡方方,非执行董事,硕士研究生,--,--
付欣,非执行董事,硕士研究生,--,--
胡剑锋,非执行董事,本科,--,--
郭晓涛,非执行董事,硕士研究生,--,--
郭建,非执行董事,硕士研究生,--,--
潘敏,独立董事,博士研究生,--,--
杨军,独立董事,博士研究生,--,--
艾春荣,独立董事,博士研究生,--,--
吴志攀,独立董事,博士研究生,--,--
刘峰,独立董事,博士研究生,--,--
陈甦,独立董事,硕士研究生,--,--
叶望春,监事长,博士研究生,--,--
韩小京,外部监事,硕士研究生,--,--
王春汉,外部监事,大专及其他,--,--
车国宝,监事,本科,--,--
邓红,职工监事,--,--,--
